Ingredient,Type,Availability,Min Portion (gm),Max Portion (gm),Standard Portion (gm),Total Calories (kcal),Carbs (gm),Fat (gm),Fiber (gm),Protein (gm)
Isopure Protein Powder,Essential,1,25,50,29.0,100.0,0.0,0.0,0.0,25.0
2% Milk,Essential,1,60,100,100.0,50.0,4.9,2.0,0.0,3.3
Milk,Essential,1,60,100,100.0,60.0,4.6,3.2,0.0,3.3
Oat Milk,Essential,1,60,100,100.0,48.0,5.1,2.8,0.8,0.8
Nonfat Greek Yogurt,Essential,1,100,150,100.0,59.0,3.6,0.5,0.0,10.3
Greek Yogurt,Essential,1,100,150,100.0,78.0,5.6,4.5,0.0,3.8
Cottage Cheese 2%,Meal,1,60,100,100.0,82.0,4.3,4.0,0.0,11.0
Paneer,Meal,1,150,200,100.0,105.0,4.6,4.2,0.0,11.6
Silken Tofu,Meal,1,150,200,100.0,59.0,2.2,2.7,0.8,6.4
Firm Tofu,Meal,1,150,200,100.0,85.0,1.0,4.2,0.9,10.9
Rajma,Meal,1,100,150,100.0,333.0,60.0,0.8,24.9,23.6
Chickpea,Meal,1,100,150,100.0,383.0,60.4,6.3,24.0,21.3
Dal,Meal,1,50,100,100.0,145.0,19.2,4.3,7.5,8.6
Millet,Meal,1,100,200,100.0,376.0,74.4,4.2,5.9,10.0
Quinoa,Meal,1,100,200,100.0,120.0,21.2,1.9,2.8,4.4
Wheat,Meal,1,100,200,100.0,370.0,71.2,2.7,10.6,15.1
White Rice,Meal,1,100,200,100.0,359.0,80.3,1.0,2.8,7.0
Brown Rice,Meal,1,100,200,100.0,366.0,76.7,3.3,4.3,7.3
Almonds,Snack,1,20,50,100.0,626.0,20.0,51.1,10.8,21.4
Pistachios,Snack,1,20,50,100.0,598.0,27.7,45.0,7.0,20.5
Walnuts,Snack,1,20,50,100.0,730.0,10.9,69.7,5.2,14.6
Pecans,Snack,1,20,50,100.0,750.0,12.7,73.3,5.8,10.0
Sunflower Seeds,Snack,1,20,30,100.0,609.0,24.5,48.4,7.2,18.9
Dates,Snack,1,20,50,100.0,277.0,75.0,0.2,6.7,1.8
Prunes,Snack,1,20,50,100.0,107.0,28.1,0.2,3.1,1.0
Apricots,Snack,1,20,50,100.0,241.0,62.6,0.5,7.3,3.4
Fig,Snack,1,20,50,100.0,74.0,19.2,0.3,2.9,0.8
Oats,Meal,1,60,100,100.0,382.0,68.7,5.9,10.4,13.5
Olives,Snack,1,20,50,100.0,141.0,5.0,12.9,4.0,1.2
Avocado,Meal,1,100,200,100.0,223.0,8.3,20.3,0.0,1.8
Sourdough,Meal,1,100,150,100.0,319.0,62.9,2.1,3.1,13.0
Egg,Meal,1,40,60,100.0,143.0,1.0,10.0,0.8,12.4
Egg White,Meal,1,40,60,100.0,52.0,2.4,0.1,0.0,10.7
Chia Seeds,Meal,1,100,150,100.0,517.0,38.3,32.9,0.0,17.0
